#,Title,Channel,Duration,Words,Topic,Score,Reason
64,"Eric Schmidt on the Robotics Race, Singularity Timeline, and Energy Shortage | 241",Peter Diamandis,40min est,8059,AI & Machine Learning,9.0,High signal (score 9.0). Topic: AI & Machine Learning
65,Bryan Johnson: I Just Took the Most Powerful Dose of DMT in the World... Here's What It Was Like,All-In Podcast,37min est,7490,AI & Machine Learning,9.0,High signal (score 9.0). Topic: AI & Machine Learning
66,We all know bash sucks. Why make our agents suffer?,Theo - t3.gg,36min est,7236,AI & Machine Learning,9.0,High signal (score 9.0). Topic: AI & Machine Learning
67,This Paradox Splits Smart People 50/50,Veritasium,23min est,4760,AI & Machine Learning,9.0,High signal (score 9.0). Topic: AI & Machine Learning
68,Why are these 3 letters on almost all of my zippers?,Veritasium,18min est,3684,AI & Machine Learning,9.0,High signal (score 9.0). Topic: AI & Machine Learning
69,I was wrong btw,The Primeagen,18min est,3643,AI & Machine Learning,9.0,High signal (score 9.0). Topic: AI & Machine Learning
70,I built something....,Matthew Berman,16min est,3316,AI & Machine Learning,9.0,High signal (score 9.0). Topic: AI & Machine Learning
71,I Went To DEFCON!,The Primeagen,16min est,3219,AI & Machine Learning,9.0,High signal (score 9.0). Topic: AI & Machine Learning
72,1000 Players - One Game of Doom,The Primeagen,15min est,3090,AI & Machine Learning,9.0,High signal (score 9.0). Topic: AI & Machine Learning
73,This Datacenter Problem Nobody's Talking About,Matt Wolfe,12min est,2577,AI & Machine Learning,9.0,High signal (score 9.0). Topic: AI & Machine Learning
74,I was hacked...,Matthew Berman,12min est,2492,AI & Machine Learning,9.0,High signal (score 9.0). Topic: AI & Machine Learning
75,How the Iran War will actually end,CaspianReport,11min est,2265,Geopolitics & World Affairs,9.0,High signal (score 9.0). Topic: Geopolitics & World Affairs
76,The Most Insane Megaproject You Never Heard About,Kurzgesagt,10min est,2077,AI & Machine Learning,9.0,High signal (score 9.0). Topic: AI & Machine Learning
77,Why Are There No Holes Around Trees?,Kurzgesagt,9min est,1871,AI & Machine Learning,9.0,High signal (score 9.0). Topic: AI & Machine Learning
78,This Is the Scariest Place in The Universe,Kurzgesagt,6min est,1364,AI & Machine Learning,9.0,High signal (score 9.0). Topic: AI & Machine Learning
79,Musician turned Programmer turned Musician,The Primeagen,6min est,1306,AI & Machine Learning,9.0,High signal (score 9.0). Topic: AI & Machine Learning
80,Simulating A Human Brain Is Suddenly Within Reach,Sabine Hossenfelder,5min est,1123,AI & Machine Learning,9.0,High signal (score 9.0). Topic: AI & Machine Learning
81,Scientists start taking UAPs seriously: New data confirmed,Sabine Hossenfelder,5min est,1057,AI & Machine Learning,9.0,High signal (score 9.0). Topic: AI & Machine Learning
82,It's not that string theory failed -- it's worse,Sabine Hossenfelder,5min est,1052,AI & Machine Learning,9.0,High signal (score 9.0). Topic: AI & Machine Learning
83,Physicists Just Linked This 160 Year-Old Math Problem To Black Holes,Sabine Hossenfelder,4min est,978,AI & Machine Learning,9.0,High signal (score 9.0). Topic: AI & Machine Learning
84,We Made A New Channel!,Kurzgesagt,2min est,428,AI & Machine Learning,9.0,High signal (score 9.0). Topic: AI & Machine Learning
85,We Made A New Journal,Kurzgesagt,1min est,235,AI & Machine Learning,9.0,High signal (score 9.0). Topic: AI & Machine Learning
86,"Why Demographics, Wealth Gaps, & AI Are Colliding Now (with Jeff Park)",Bankless,82min est,16469,AI & Machine Learning,8.8,High signal (score 8.8). Topic: AI & Machine Learning
87,Nic Carter: Bitcoin Has 3 Years to Survive the Quantum Threat,Bankless,67min est,13474,Finance & Crypto,8.5,High signal (score 8.5). Topic: Finance & Crypto
88,How The Iran War is Becoming a World War,RealLifeLore,31min est,6368,Geopolitics & World Affairs,8.5,High signal (score 8.5). Topic: Geopolitics & World Affairs
89,Iran has a secret doomsday plan,CaspianReport,9min est,1949,Geopolitics & World Affairs,8.5,High signal (score 8.5). Topic: Geopolitics & World Affairs
90,Iran has a new Supreme Leader. Does it even matter?,CaspianReport,7min est,1539,Geopolitics & World Affairs,8.5,High signal (score 8.5). Topic: Geopolitics & World Affairs
91,An Argument The Moon is a PLANET!,minutephysics,6min est,1234,Space & Aerospace,8.5,High signal (score 8.5). Topic: Space & Aerospace
92,Refueling a NUCLEAR REACTOR - Smarter Every Day 311,SmarterEveryDay,101min est,20332,AI & Machine Learning,8.0,High signal (score 8.0). Topic: AI & Machine Learning
93,Everything About Disc Golf Aerodynamics - Smarter Every Day 313,SmarterEveryDay,87min est,17501,AI & Machine Learning,8.0,High signal (score 8.0). Topic: AI & Machine Learning
94,Your Job Will Be Automated. Here's the Only Skill That Survives,Bankless,82min est,16548,AI & Machine Learning,8.0,High signal (score 8.0). Topic: AI & Machine Learning
95,The Largest Securities Exchange in the World is Coming Onchain,Bankless,62min est,12563,AI & Machine Learning,8.0,High signal (score 8.0). Topic: AI & Machine Learning
96,Pompeii Changed How I Think About The Roman Empire - Smarter Every Day 310,SmarterEveryDay,46min est,9255,AI & Machine Learning,8.0,High signal (score 8.0). Topic: AI & Machine Learning
97,I Went Into a Nuclear Plant and It Changed How I Think About Radiation - Smarter Every Day 309,SmarterEveryDay,42min est,8470,AI & Machine Learning,8.0,High signal (score 8.0). Topic: AI & Machine Learning
98,Webinar Replay: Cambria Global EW 2 ETF and 351 ETF Conversions (GEQ) | Meb Faber,Meb Faber Show,36min est,7260,Finance & Crypto,8.0,High signal (score 8.0). Topic: Finance & Crypto
99,The Middle East's Next War After Iran,RealLifeLore,30min est,6152,Geopolitics & World Affairs,8.0,High signal (score 8.0). Topic: Geopolitics & World Affairs
100,Ronaldo vs My Unbeatable Goalie Robot,Mark Rober,25min est,5144,AI & Machine Learning,8.0,High signal (score 8.0). Topic: AI & Machine Learning
101,How to Escape Alcatraz With Basic Engineering,Mark Rober,25min est,5062,AI & Machine Learning,8.0,High signal (score 8.0). Topic: AI & Machine Learning
102,Uncovering America's Underwater City,Mark Rober,20min est,4098,AI & Machine Learning,8.0,High signal (score 8.0). Topic: AI & Machine Learning
103,Physicists Are Questioning Dark Matter—Here's Why,Arvin Ash,18min est,3794,AI & Machine Learning,8.0,High signal (score 8.0). Topic: AI & Machine Learning
104,Why Do Spinning Things Do This? - Smarter Every Day 312,SmarterEveryDay,18min est,3692,AI & Machine Learning,8.0,High signal (score 8.0). Topic: AI & Machine Learning
105,How ICE's Surveillance System Works,Wendover Productions,18min est,3672,AI & Machine Learning,8.0,High signal (score 8.0). Topic: AI & Machine Learning
106,California's Water Problem,Wendover Productions,18min est,3611,AI & Machine Learning,8.0,High signal (score 8.0). Topic: AI & Machine Learning
107,How Nike Lost Its Way,Wendover Productions,17min est,3470,AI & Machine Learning,8.0,High signal (score 8.0). Topic: AI & Machine Learning
108,I Blew Up A 24 Story Building,Mark Rober,17min est,3412,AI & Machine Learning,8.0,High signal (score 8.0). Topic: AI & Machine Learning
109,The Cruise Industry's Arms Race,Wendover Productions,16min est,3344,AI & Machine Learning,8.0,High signal (score 8.0). Topic: AI & Machine Learning
110,70% of the Universe Is Unknown — Here’s What We Know,Arvin Ash,16min est,3230,AI & Machine Learning,8.0,High signal (score 8.0). Topic: AI & Machine Learning
111,How Red Bull Built Its Empire,Wendover Productions,15min est,3089,AI & Machine Learning,8.0,High signal (score 8.0). Topic: AI & Machine Learning
112,Taiwan is Not Venezuela,Polymatter,15min est,3075,AI & Machine Learning,8.0,High signal (score 8.0). Topic: AI & Machine Learning
113,Do *you* understand ISO?,minutephysics,13min est,2693,AI & Machine Learning,8.0,High signal (score 8.0). Topic: AI & Machine Learning
114,The Liquid Hammer Toy You Can't Buy,Steve Mould,13min est,2673,AI & Machine Learning,8.0,High signal (score 8.0). Topic: AI & Machine Learning
115,America’s Self-Inflicted Doctor Shortage,Polymatter,13min est,2648,AI & Machine Learning,8.0,High signal (score 8.0). Topic: AI & Machine Learning
116,Amplifying Invisible Motion,Steve Mould,13min est,2646,AI & Machine Learning,8.0,High signal (score 8.0). Topic: AI & Machine Learning
117,Surely it Breaks The 2nd Law,Steve Mould,13min est,2602,AI & Machine Learning,8.0,High signal (score 8.0). Topic: AI & Machine Learning
118,Here's Why Personality Tests ALWAYS Work*,SciShow,12min est,2559,AI & Machine Learning,8.0,High signal (score 8.0). Topic: AI & Machine Learning
119,The Weirdest Microscope,Steve Mould,12min est,2505,AI & Machine Learning,8.0,High signal (score 8.0). Topic: AI & Machine Learning
120,Why Puerto Rico’s Economy Doesn’t Work,Polymatter,12min est,2486,AI & Machine Learning,8.0,High signal (score 8.0). Topic: AI & Machine Learning
121,Why boots on the ground is coming,CaspianReport,10min est,2190,AI & Machine Learning,8.0,High signal (score 8.0). Topic: AI & Machine Learning
122,The European Country Putin Stubbornly Refuses to Invade,Polymatter,10min est,2081,AI & Machine Learning,8.0,High signal (score 8.0). Topic: AI & Machine Learning
123,Can You Turn a Rainbow Back into White Light?,Steve Mould,10min est,2080,AI & Machine Learning,8.0,High signal (score 8.0). Topic: AI & Machine Learning
124,Why Geologists Lick Petrified Poop,SciShow,10min est,2028,AI & Machine Learning,8.0,High signal (score 8.0). Topic: AI & Machine Learning
125,Did Science Accidentally Point to God?,Arvin Ash,9min est,1926,AI & Machine Learning,8.0,High signal (score 8.0). Topic: AI & Machine Learning
126,Are America’s Students Falling Behind?,Polymatter,8min est,1723,AI & Machine Learning,8.0,High signal (score 8.0). Topic: AI & Machine Learning
127,The Hidden Structure of Reality (11 Layers of Existence),Arvin Ash,8min est,1722,AI & Machine Learning,8.0,High signal (score 8.0). Topic: AI & Machine Learning
128,The Epstein files hurt America more than missiles ever could,CaspianReport,8min est,1686,AI & Machine Learning,8.0,High signal (score 8.0). Topic: AI & Machine Learning
129,So You Think Gravity Controls the Universe? Think Again,Arvin Ash,8min est,1662,AI & Machine Learning,8.0,High signal (score 8.0). Topic: AI & Machine Learning
130,Antarctica Has An Accent and It's Weirder Than You Think,SciShow,8min est,1656,AI & Machine Learning,8.0,High signal (score 8.0). Topic: AI & Machine Learning
131,The TROJAN Test,minutephysics,7min est,1594,AI & Machine Learning,8.0,High signal (score 8.0). Topic: AI & Machine Learning
132,"Chimps Love ""People Watching"" Too",SciShow,7min est,1520,AI & Machine Learning,8.0,High signal (score 8.0). Topic: AI & Machine Learning
133,The Earth Keeps Making Mountains in Colorado and Scientists Don’t Know Why,SciShow,7min est,1503,AI & Machine Learning,8.0,High signal (score 8.0). Topic: AI & Machine Learning
134,He just crawled through hell to fix the browser…,Fireship,6min est,1217,AI & Machine Learning,8.0,High signal (score 8.0). Topic: AI & Machine Learning
135,Is Quantum Mechanics Stopping Aliens From Contacting Us?,minutephysics,5min est,1162,AI & Machine Learning,8.0,High signal (score 8.0). Topic: AI & Machine Learning
136,"Cursor ditches VS Code, but not everyone is happy...",Fireship,5min est,1115,AI & Machine Learning,8.0,High signal (score 8.0). Topic: AI & Machine Learning
137,These Petroglyphs Helped Humans Survive the Desert,SciShow,5min est,1105,AI & Machine Learning,8.0,High signal (score 8.0). Topic: AI & Machine Learning
138,The REAL Reason Asteroids Aren't Planets,minutephysics,4min est,991,AI & Machine Learning,8.0,High signal (score 8.0). Topic: AI & Machine Learning
139,Millions of JS devs just got penetrated by a RAT…,Fireship,4min est,956,AI & Machine Learning,8.0,High signal (score 8.0). Topic: AI & Machine Learning
140,Van Simmons on the Collectibles Market Shift Nobody Expected,Meb Faber Show,73min est,14752,Finance & Crypto,7.5,High signal (score 7.5). Topic: Finance & Crypto
141,The Market Is Entering a New Cycle - Morgan Stanley's Mike Wilson,Meb Faber Show,43min est,8712,Finance & Crypto,7.5,High signal (score 7.5). Topic: Finance & Crypto
142,Coding Adventure: Simulating Smoke,Sebastian Lague,39min est,7965,Technology & Software,7.5,High signal (score 7.5). Topic: Technology & Software
143,I Tried Coding My Own Synthesizer,Sebastian Lague,28min est,5671,Technology & Software,7.5,High signal (score 7.5). Topic: Technology & Software
144,Coding Adventure: Analyzing Audio,Sebastian Lague,19min est,3838,Technology & Software,7.5,High signal (score 7.5). Topic: Technology & Software
145,The Making of the Modern Middle East,RealLifeLore,241min est,48370,AI & Machine Learning,7.0,High signal (score 7.0). Topic: AI & Machine Learning
146,Private Equity's Low Volatility Isn't Real,Meb Faber Show,83min est,16657,AI & Machine Learning,7.0,High signal (score 7.0). Topic: AI & Machine Learning
147,Why Rich Investors NEVER Sell Their Biggest Winners,Meb Faber Show,52min est,10462,AI & Machine Learning,7.0,High signal (score 7.0). Topic: AI & Machine Learning
148,The SID: Classic 8-bit sound,Ben Eater,29min est,5857,AI & Machine Learning,7.0,High signal (score 7.0). Topic: AI & Machine Learning
149,What Happens When No One Wants to Trade With You?,Economics Explained,28min est,5632,AI & Machine Learning,7.0,High signal (score 7.0). Topic: AI & Machine Learning
150,"Why 400,000 People Live in Earth's Coldest City",RealLifeLore,24min est,4992,AI & Machine Learning,7.0,High signal (score 7.0). Topic: AI & Machine Learning
151,I Made a Game in 4 Days (for the GMTK jam),Sebastian Lague,24min est,4906,AI & Machine Learning,7.0,High signal (score 7.0). Topic: AI & Machine Learning
152,Sound synth with a 6502,Ben Eater,20min est,4135,AI & Machine Learning,7.0,High signal (score 7.0). Topic: AI & Machine Learning
153,How do aircraft systems communicate?,Ben Eater,20min est,4115,AI & Machine Learning,7.0,High signal (score 7.0). Topic: AI & Machine Learning
154,The Nightmare Geography Glitch Hiding in New Hampshire,RealLifeLore,20min est,4062,AI & Machine Learning,7.0,High signal (score 7.0). Topic: AI & Machine Learning
155,Computer noises,Ben Eater,18min est,3716,AI & Machine Learning,7.0,High signal (score 7.0). Topic: AI & Machine Learning
156,Iran Was Never About Iran,Andrei Jikh,18min est,3680,Geopolitics & World Affairs,7.0,High signal (score 7.0). Topic: Geopolitics & World Affairs
157,How to Rebuild an Economy,Economics Explained,17min est,3584,AI & Machine Learning,7.0,High signal (score 7.0). Topic: AI & Machine Learning
158,We Went to NASA To Solve a Computer Mystery,Linus Tech Tips,16min est,3388,Technology & Software,7.0,High signal (score 7.0). Topic: Technology & Software
159,Reviewing Everything on my Desk! (2026),MKBHD,16min est,3357,AI & Machine Learning,7.0,High signal (score 7.0). Topic: AI & Machine Learning
160,Finland's Happy Little Economic Crisis,Economics Explained,15min est,3089,AI & Machine Learning,7.0,High signal (score 7.0). Topic: AI & Machine Learning
161,Has the World Become Uninsurable?,Economics Explained,15min est,3018,AI & Machine Learning,7.0,High signal (score 7.0). Topic: AI & Machine Learning
162,"Why $129,000 Is the New Poor",Economics Explained,13min est,2600,AI & Machine Learning,7.0,High signal (score 7.0). Topic: AI & Machine Learning
163,Modern SID chip substitutes,Ben Eater,12min est,2511,AI & Machine Learning,7.0,High signal (score 7.0). Topic: AI & Machine Learning
164,Nothing Phone 4A/Pro Review: I Have a Theory,MKBHD,12min est,2401,AI & Machine Learning,7.0,High signal (score 7.0). Topic: AI & Machine Learning
165,The Windows Laptop Problem,MKBHD,10min est,2025,AI & Machine Learning,7.0,High signal (score 7.0). Topic: AI & Machine Learning
166,Bluey Phone Review,MKBHD,4min est,806,AI & Machine Learning,7.0,High signal (score 7.0). Topic: AI & Machine Learning
167,How capitalism ate the culture,Vox,39min est,7815,Technology & Software,6.5,Medium signal (score 6.5). Topic: Technology & Software
168,The Gamer Jet is Real! and it Cost $0*,Linus Tech Tips,23min est,4791,Technology & Software,6.5,Medium signal (score 6.5). Topic: Technology & Software
169,He Needs a NAS,Linus Tech Tips,23min est,4707,Technology & Software,6.5,Medium signal (score 6.5). Topic: Technology & Software
170,"Sen. Murphy vs. Trump's corruption | Today, Explained",Vox,18min est,3605,Geopolitics & World Affairs,6.5,Medium signal (score 6.5). Topic: Geopolitics & World Affairs
171,How Wall Street Took Over Bitcoin,Andrei Jikh,16min est,3239,Finance & Crypto,6.5,Medium signal (score 6.5). Topic: Finance & Crypto
172,WTF Just Happened To The Housing Market?!,Graham Stephan,16min est,3228,Finance & Crypto,6.5,Medium signal (score 6.5). Topic: Finance & Crypto
173,Why wasn't Teddy Roosevelt allowed to fight in World War One? (Short Animated Documentary),History Matters,10min est,2034,Geopolitics & World Affairs,6.5,Medium signal (score 6.5). Topic: Geopolitics & World Affairs
174,Why did Mao win the Chinese Civil War?,History Matters,10min est,2000,Geopolitics & World Affairs,6.5,Medium signal (score 6.5). Topic: Geopolitics & World Affairs
175,Why did Austria-Hungary do so poorly in World War One? (Short Animated Documentary),History Matters,9min est,1971,Geopolitics & World Affairs,6.5,Medium signal (score 6.5). Topic: Geopolitics & World Affairs
176,The New American Dream: Moving To Europe,Financial Diet,56min est,11260,AI & Machine Learning,6.0,Medium signal (score 6.0). Topic: AI & Machine Learning
177,Why humans need to matter,Vox,34min est,6866,AI & Machine Learning,6.0,Medium signal (score 6.0). Topic: AI & Machine Learning
178,I’m A Recovering Emotional Spender — Here’s How I Budget,Financial Diet,32min est,6498,AI & Machine Learning,6.0,Medium signal (score 6.0). Topic: AI & Machine Learning
179,GEOGRAPHY NOW! CHENGDU,Geography Now,27min est,5512,AI & Machine Learning,6.0,Medium signal (score 6.0). Topic: AI & Machine Learning
180,How I went to each continent,Geography Now,25min est,5064,AI & Machine Learning,6.0,Medium signal (score 6.0). Topic: AI & Machine Learning
181,The End Of Pax Americana,Andrei Jikh,23min est,4657,AI & Machine Learning,6.0,Medium signal (score 6.0). Topic: AI & Machine Learning
182,6 Things To Do If You Want To Retire In Your 40s,Financial Diet,22min est,4467,AI & Machine Learning,6.0,Medium signal (score 6.0). Topic: AI & Machine Learning
